feature,gain
f62,3654.9072265625
f61,2886.014404296875
f63,2362.13037109375
f66,2139.18408203125
f65,1278.0413818359375
f59,814.3076782226562
f47,456.1767578125
f60,387.05059814453125
f57,194.1722869873047
f44,175.8719024658203
f58,106.05880737304688
f13,39.73052215576172
f4,36.45292282104492
f22,32.73138427734375
f0,26.774471282958984
f36,24.6217098236084
f15,13.537588119506836
f27,12.603644371032715
f6,11.731149673461914
f5,11.709099769592285
f54,9.900918960571289
f19,9.045821189880371
f7,6.813140392303467
f21,6.388518333435059
f39,6.049939155578613
f1,5.487571716308594
f48,4.559746742248535
f2,3.6197075843811035
f46,3.608690023422241
f32,3.4951295852661133
f16,3.4135494232177734
f45,3.3595314025878906
f17,3.244631052017212
f29,3.1966748237609863
f37,3.067744255065918
f56,2.642902374267578
f26,2.3660309314727783
f49,2.346076726913452
f35,2.3114657402038574
f10,2.0674426555633545
f41,1.8895697593688965
f40,1.8608838319778442
f31,1.8589369058609009
f38,1.8473458290100098
f23,1.7792797088623047
f18,1.7674999237060547
f30,1.7017840147018433
f3,1.6041171550750732
f55,1.5610688924789429
f42,1.5570683479309082
f53,1.5495620965957642
f43,1.3081649541854858
f33,1.222703456878662
f11,1.1917824745178223
f25,1.1566144227981567
f28,1.113338828086853
f50,1.0421268939971924
f12,1.0132548809051514
f20,1.0091428756713867
f24,0.9901498556137085
f34,0.9722746014595032
f9,0.9399372935295105
f8,0.8876457214355469
f52,0.6869962215423584
f51,0.5023044347763062
f14,0.22878041863441467
